,STREET,ExisFacil
44,SEAPORT BOULEVARD,BFBL
139,SULLIVAN SQUARE,BFBL
145,MAIN STREET,BFBL
152,COLUMBIA ROAD,BFBL
158,OLD COLONY AVENUE,BFBL
168,A STREET,BFBL
184,ALFORD STREET,BFBL
208,D STREET,BFBL
296,AMERICAN LEGION HIGHWAY,BFBL
340,SEAVER STREET,BFBL
396,MORTON STREET,BFBL
450,BROOKLINE AVENUE,BFBL
599,COMMONWEALTH AVENUE,BFBL
654,NORFOLK STREET,BFBL
836,CAMBRIDGE STREET,BFBL
950,ADAMS STREET,BFBL
1212,MOUNTFORT STREET,BFBL
1253,BEACON STREET,BFBL
1852,DORCHESTER AVENUE,BFBL
2,BLUE HILL AVENUE,BL
4,MORTON STREET,BL
9,TREMONT STREET,BL
13,FORSYTH WAY,BL
14,COMMONWEALTH AVENUE,BL
25,TALBOT AVENUE,BL
27,HUMBOLDT AVENUE,BL
35,FREEPORT STREET,BL
37,DORCHESTER AVENUE,BL
39,D STREET,BL
41,MAVERICK STREET,BL
46,HEREFORD STREET,BL
47,SEAPORT BOULEVARD,BL
48,MAIN STREET,BL
51,CITY SQUARE,BL
57,DEXTER ROW,BL
59,ADAMS STREET,BL
64,WARREN STREET,BL
67,MARTIN LUTHER KING BOULEVARD,BL
68,NEPONSET AVENUE,BL
89,MASSACHUSETTS AVENUE,BL
90,COLUMBIA ROAD,BL
94,FRANKLIN STREET,BL
95,BELVIDERE STREET,BL
98,NORFOLK STREET,BL
100,PURCHASE STREET,BL
109,HAMPDEN STREET,BL
115,KILBY STREET,BL
119,MILK STREET,BL
120,COLUMBUS AVENUE,BL
121,JOHN F. FITZGERALD SURFACE ROAD,BL
122, ,BL
124,CROSS STREET,BL
132,DARTMOUTH STREET,BL
134,STUART STREET,BL
135,NORTH WASHINGTON STREET,BL
160,BERKELEY STREET,BL
180,A STREET,BL
182,SURFACE ARTERY,BL
183,HIGH STREET,BL
193,PEARL STREET,BL
222,CHELSEA STREET,BL
223,VETERANS OF FOREIGN WARS PARKWAY,BL
233,SARATOGA STREET,BL
241,BEACON STREET,BL
246,FANEUIL STREET,BL
250,CENTRE STREET,BL
251,COMMONWEALTH AVENUE FRONTAGE ROAD WB,BL
252,CAMBRIDGE STREET,BL
253,MARKET STREET,BL
255,BELGRADE AVENUE,BL
263,NORTH HARVARD STREET,BL
270,CUMMINS HIGHWAY,BL
272,HARVARD AVENUE,BL
274,AMERICAN LEGION HIGHWAY,BL
280,HEMENWAY STREET,BL
299,WASHINGTON STREET,BL
306,WALK HILL STREET,BL
307,PERKINS STREET,BL
315,CHESTNUT STREET,BL
317,JEWISH WAR VETERANS DRIVE,BL
337,SEAVER STREET,BL
345,SOUTH STREET,BL
356,RUGGLES STREET,BL
365,RIVERDALE PARKWAY ROTARY,BL
381,SOUTH HUNTINGTON AVENUE,BL
400,ALBANY STREET,BL
458,MOUNTFORT STREET,BL
463,PARK DRIVE,BL
476,LONGFELLOW BRIDGE,BL
486,SAINT ALPHONSUS STREET,BL
526,EXETER STREET,BL
664,OLD ROAD,BL
677,CHESTNUT HILL AVENUE,BL
771,ATLANTIC AVENUE,BL
775,WESTERN AVENUE,BL
829,BAKER STREET,BL
839,ALFORD STREET,BL
859,LAKE STREET,BL
891,ANTWERP ST,BL
904,CORINTH STREET,BL
910,BOSTON UNIVERSITY BRIDGE,BL
965,LONGWOOD AVENUE,BL
983,BROOKLINE AVENUE,BL
1112,NORTHERN AVENUE,BL
1155,FORSYTH STREET,BL
1285,ENNEKING PARKWAY,BL
1373,HUNTINGTON AVENUE,BL
1383,WALTER STREET,BL
1414,TRUMAN HIGHWAY,BL
1459,FOREST HILLS ENTRANCE DRIVE,BL
1559,BRIGHTON AVENUE,BL
1604,WINSHIP STREET,BL
1789,POST OFFICE SQUARE,BL
1859,WILLIAM T MORRISSEY BOULEVARD,BL
1872,PIERPOINT ROAD,BL
1945,OLIVER STREET,BL
1963,DRYDOCK AVENUE,BL
2393,FRANCIS STREET,BL
